AGENT TOOLS — TOOL CONTRACT CHÍNH THỨC CẦN ĐỊNH NGHĨA,,,,,,,,,,
Cập nhật,06/08/2026,,,,,,,,,
Guardrail chung,Tool là nguồn số liệu duy nhất cho Agent. Agent không bịa PM2.5/timestamp/station/alert; không tự approve/reject; không dùng stale/invalid/offline data.,,,,,,,,,
,,,,,,,,,,
Tool,Agent sở hữu,Mục đích,Input bắt buộc,Input tùy chọn,Output chuẩn,Backend endpoint đề xuất,Mock trước?,Validation/Guardrail,Test case tối thiểu,Trạng thái
get_current_pm25,Sensor Data Agent,Lấy PM2.5 hiện tại của một station.,station_id,-,"station_id, station_name, pm25, unit, status, quality_flag, measured_at, source",GET /api/v1/stations/{station_id}/current,Có,Không trả số nếu missing/stale/invalid/offline; measured_at bắt buộc.,S03 online valid; S05 offline; station_id không tồn tại.,"Mock trước, nối API sau"
get_station_history,Sensor Data Agent,Lấy lịch sử PM2.5 trong khoảng giờ để xem trend.,"station_id, hours","from, to","station_id, hours, measurements[{pm25, measured_at, quality_flag}]",GET /api/v1/stations/{station_id}/history?hours=24,Có,Nếu ít dữ liệu thì nói chưa đủ kết luận trend.,24h có data; data rỗng; timestamp quá cũ.,"Mock trước, nối API sau"
compare_stations,Sensor Data Agent,"So sánh nhiều station, xếp hạng ô nhiễm cao/thấp.",station_ids[] hoặc all=true,metric=pm25,"ranking[], best_station, worst_station, measured_at",GET /api/v1/stations/compare hoặc tổng hợp từ latest,Có,Không so sánh khi timestamp lệch quá nhiều hoặc station offline.,So sánh 5 station; S03 cao nhất; 1 station stale.,"Mock trước, nối API sau"
get_weather_context,Weather Context Agent,Lấy thời tiết hiện tại để giải thích và khuyến nghị.,location,time,"temperature, humidity, wind_speed, rainfall, condition, observed_at, source",GET /api/v1/weather/current hoặc API ngoài,Có,"Weather lỗi thì Agent nói thiếu dữ liệu thời tiết, không bịa.",Weather OK; API lỗi; thiếu location.,Mock/API ngoài
get_pm25_forecast,Forecast Agent,Dự báo PM2.5 1–3 giờ.,"station_id, hours",model_name,"forecast[{target_time, predicted_pm25}], model_name, generated_at, confidence",GET /api/v1/stations/{id}/forecast?hours=3,Có,Không nói chắc chắn; phải nêu model/baseline và generated_at.,Forecast 3h; thiếu history; output confidence thấp.,Baseline/mock
get_active_alerts,Risk Assessment Agent,Lấy danh sách cảnh báo active từ Alert Engine.,status=active,"station_id, severity","alerts[{alert_id, station_id, type, severity, observed_value, threshold, status, created_at}]",GET /api/v1/alerts/active,Có,"Alert do Rule Engine tạo, LLM không tự quyết threshold.",Có alert S03; không có alert; alert resolved.,Nên nối backend
get_user_profile,Recommendation Agent,Lấy nhóm người dùng để cá nhân hóa khuyến nghị.,user_id,-,"user_id, role, user_group, preferences",GET /api/v1/users/{user_id}/profile,Có,"Chỉ dùng user_group cho khuyến nghị môi trường, không chẩn đoán y tế.",normal; sensitive; outdoor_sport; user missing.,Mock trước
create_warning_proposal,Warning Proposal Agent,Tạo đề xuất cảnh báo pending cho manager review.,"alert_id, station_id, reason, evidence[], proposed_message",expires_at,"proposal_id, status=pending, created_at",POST /api/v1/proposals,Có,Không tạo khi evidence thiếu/stale/invalid/offline; không approve/reject.,Tạo pending; tạo trùng; evidence thiếu; stale data.,Cần backend để lưu thật
save_agent_trace,Trace/Audit Agent,Lưu trace quá trình xử lý Agent.,"conversation_id, user_message, intent, tools_used, final_answer","tool_inputs, tool_outputs_summary, errors","trace_id, status=saved, created_at",POST /api/v1/agent/traces hoặc file local,Có,Không lưu API key/token/secret; có thể mask thông tin nhạy cảm.,Trace thành công; tool lỗi; unknown intent.,Đã có hướng
,,,,,,,,,,
INTENT → AGENT → TOOL MAPPING,,,,,,,,,,
Intent,Ví dụ câu hỏi,Agent xử lý chính,Tool cần gọi,Output mong muốn,Fallback nếu lỗi,,,,,
current_pm25,PM2.5 ở cổng chính là bao nhiêu?,Supervisor + Sensor Data Agent,get_current_pm25,"Giá trị PM2.5, station, timestamp, trạng thái",Nói không có dữ liệu hiện tại nếu stale/offline.,,,,,
station_history,PM2.5 hôm nay có tăng không?,Sensor Data + Response Agent,get_station_history,Trend/tóm tắt history có timestamp,Nói chưa đủ dữ liệu nếu measurements ít.,,,,,
compare_stations,Khu nào ô nhiễm nhất?,Sensor Data + Response Agent,compare_stations,Ranking và khu cao/thấp nhất,Không so sánh nếu dữ liệu lệch timestamp.,,,,,
outdoor_recommendation,Tôi có nên chạy bộ không?,Risk Assessment + Recommendation Agent,"get_current_pm25, get_weather_context, get_pm25_forecast, get_user_profile",Khuyến nghị kèm lý do và evidence,Trả lời giới hạn nếu thiếu weather/forecast.,,,,,
alert_explanation,Vì sao S03 có cảnh báo?,Risk Assessment + Response Agent,"get_active_alerts, get_station_history","Giải thích alert, threshold, evidence",Nếu không có alert active thì nói rõ.,,,,,
proposal_creation,Có cần gửi cảnh báo không?,Warning Proposal Agent,"get_active_alerts, create_warning_proposal",proposal pending hoặc lý do không tạo,Không tạo nếu thiếu evidence.,,,,,
unknown,Câu ngoài phạm vi,Supervisor + Response Agent,Không gọi tool hoặc hỏi lại,Từ chối/giới hạn phạm vi lịch sự,Không bịa dữ liệu.,,,,,
