ĐẶC TẢ 10 TÍNH NĂNG CỐT LÕI (FEATURES) — AIRGUARD AI,,,,,,,,,
Hệ thống đã hoàn thiện 100% toàn bộ 10 tính năng cốt lõi theo tiêu chuẩn Gate 2,,,,,,,,,
Mã FT,Phân nhóm,Tên tính năng,Mô tả chi tiết,Actor,Agent Tool liên quan,Endpoint API,Trạng thái,Mức ưu tiên,Tiêu chí nghiệm thu
F-01,Dashboard,Bản đồ AQI Realtime & 5 Trạm Đo,Hiển thị 5 trạm vi khí hậu trên nền Leaflet kèm mã màu phân cấp US EPA 2012,"Cư dân, Quản lý",get_current_pm25,GET /api/v1/stations,Hoàn thành,Must,"5/5 trạm hiển thị đúng mã màu, refresh chu kỳ 30s"
F-02,Spatial GIS,Nội suy không gian IDW Heatmap,"Nội suy ma trận ô lưới 60x60, hiển thị lớp phủ nhiệt và viền xanh hành lang sạch","Cư dân, Quản lý",get_weather_context,GET /api/v1/spatial/heatmap,Hoàn thành,Must,"Vẽ heatmap mượt mà, xác định đúng hành lang sạch ven hồ"
F-03,Routing,Định tuyến thể thao sạch khép kín OSM,"Thuật toán 2-Leg Penalized Dijkstra sinh lộ trình 1-10km khép kín, 0% chạy lùi",Cư dân (Runner),recommend_running_route,POST /api/v1/routing/clean-route,Hoàn thành,Must,"Cự ly chính xác sai số < 5%, 0% trùng lặp, tích phân bụi hít"
F-04,AI Agent,Trợ lý AI Tiếng Việt Grounded,"Đàm thoại tiếng Việt tự nhiên, LangGraph Tool calling truy vấn DB SoR (Zero Hallucination)","Cư dân, Quản lý","compare_stations, get_station_history",POST /api/v1/agent/chat,Hoàn thành,Must,100% câu trả lời có căn cứ dữ liệu thực tế từ trạm
F-05,Alerts,Cảnh báo tự động & Cooldown Policy,"Phát hiện ô nhiễm sau 2 lần đo liên tiếp, cơ chế Cooldown 15 phút chống spam","Cư dân, Quản lý",get_active_alerts,GET /api/v1/alerts,Hoàn thành,Must,"Cảnh báo kịp thời theo 4 cấp độ, không spam thông báo"
F-06,HITL,Cổng Phê Duyệt Can Thiệp 1-Click,Quản lý thẩm định chứng cứ (Evidence Card) và bấm Approve/Reject đề xuất can thiệp,Quản lý đô thị,create_warning_proposal,POST /api/v1/approvals/{id}/approve,Hoàn thành,Must,AI chỉ tạo proposal pending; chỉ Manager có quyền duyệt
F-07,Device Control,Điều khiển thủ công máy lọc mô phỏng,"Quản lý trực tiếp bật/tắt máy lọc FILTER-S01..S05 qua MQTT, nhận ACK tức thì 0.8s",Quản lý đô thị,N/A (Direct API),POST /api/v1/devices/{id}/manual-control,Hoàn thành,Must,"Phản hồi ACK trong 0.8s, đếm ngược chu kỳ 45 phút 80%"
F-08,Health Profile,Cá nhân hóa hồ sơ & thông báo,"Thiết lập nhóm sức khỏe (normal, sensitive, outdoor_sport) và nhận Daily Digest",Cư dân (Resident),get_user_profile,PATCH /api/v1/auth/profile,Hoàn thành,Must,Nhóm nhạy cảm bị nhân đôi phạt ô nhiễm 2.0x khi tìm đường
F-09,Forecast,Dự báo vi khí hậu 1-24 giờ,"Mô hình chuỗi thời gian kết hợp dữ liệu 24h và khí tượng Open-Meteo, dự báo 1-24h","Cư dân, Quản lý",get_pm25_forecast,GET /api/v1/stations/{id}/forecast,Hoàn thành,Must,Dự báo các mốc T+1h đến T+24h kèm khoảng tin cậy
F-10,Reporting,Báo cáo môi trường & Chỉ số ESG,"Tự động tổng hợp và xuất báo cáo ca/ngày/tháng định dạng PDF, Excel, CSV, JSON",Quản lý đô thị,N/A (Direct API),GET /api/v1/reports,Hoàn thành,Must,"Tính toán Data Coverage >= 75%, giờ không khí sạch"
