HỒ SƠ QUẢN LÝ DỰ ÁN,,,,,,,,,,,,,
Được cập nhật liên tục bởi Trưởng nhóm — Nguồn tin cậy duy nhất về tình hình dự án,,,,,,,,,,,,,
Tình hình hiện tại,"Đã tích hợp FE-BE, chuẩn hóa API và hoàn thành Agent pipeline cơ bản; đang Docker hóa + PostgreSQL + E2E",,,,,,,,,,,,
Tên dự án,AirGuard AI — AI Agent giám sát PM2.5 ngoài trời,,,,,,,,,,,,
Nhóm,T-074 / Tứ Kỵ Sĩ Khải Huyền,,,,,,,,,,,,
Ngày bắt đầu,29/07/2026,,,,,,,,,,,,
Ngày kết thúc dự kiến,04/09/2026,,,,,,,,,,,,
Trưởng nhóm,Lê Tuấn Cảnh,,,,,,,,,,,,
Mentor phụ trách,Lê Văn Thể,,,,,,,,,,,,
Đối tác sử dụng (Stakeholder),"Mentor/đối tác đại diện: đang xin xác nhận ưu tiên Docker Compose, E2E, PostgreSQL schema/seed và scope demo",,,,,,,,,,,,
Kho lưu mã nguồn (GitHub),https://github.com/AI20K-Build-Phase-Cohort-3/P-074/tree/main,,,,,,,,,,,,
Địa chỉ sản phẩm (Live URL),Local prototype: FE-BE đã tích hợp; Backend FastAPI /docs; Agent pipeline chạy cơ bản; Docker/PostgreSQL đang cấu hình,,,,,,,,,,,,
Mục tiêu dự án,"MVP 6 tuần: 5 sensor PM2.5 giả lập qua MQTT, FastAPI + PostgreSQL, dashboard React, AI Agent tool-calling, evidence/timestamp, Warning Proposal và HITL approve/reject.",,,,,,,,,,,,
TỔNG HỢP TIẾN ĐỘ THEO SPRINT,,,,,,,,,,,,,
Sprint,Giai đoạn,Từ ngày,Đến ngày,Tổng số việc,Đã xong,Đang làm,Trạng thái,,,,,,
Sprint 1,Khởi động và Thiết kế,25/07/2026,07/08/2026,13,13,0,Hoàn thành,,,,,,
Sprint 2,Tích hợp FE-BE + Agent + API,08/08/2026,14/08/2026,10,7,3,Đang làm,,,,,,
Sprint 3,"Docker, PostgreSQL, MQTT và E2E",15/08/2026,21/08/2026,9,1,8,Chuẩn bị / Đang làm,,,,,,
Sprint 4,"Hoàn thiện HITL, test, demo",22/08/2026,04/09/2026,8,0,8,Chưa bắt đầu,,,,,,
CHỈ SỐ THEO DÕI CHÍNH,,,,,,,,,,,,,
Tổng số User Story,10.0,câu,,,,,,,,,,,
Tính năng đã hoàn thành,0 / 10,,,,,,,,,,,,
Lỗi đang mở,0.0,Nghiêm trọng / Cao / Trung bình / Thấp,,,,,,,,,,,
Số lần gặp đối tác,0.0,lần,,,,,,,,,,,
Mức hài lòng (Demo),Chưa có,trên 10,,,,,,,,,,,
Tình trạng triển khai,Local/Docker prototype đang chuẩn bị,,,,,,,,,,,,
