THEO DÕI LỖI (BUG TRACKING),,,,,,,,,,,,,
Báo cáo ngay khi phát hiện lỗi — Cập nhật trạng thái khi xử lý xong,,,,,,,,,,,,,
STT,Mã lỗi,Tiêu đề lỗi,Mô tả chi tiết,Cách tái hiện,Mức nghiêm trọng,Ưu tiên,Mã US liên quan,Người xử lý,Ngày phát hiện,Trạng thái,Ngày sửa / Ghi chú,,
1.0,BUG-001,Frontend trắng màn hình,React runtime lỗi: React is not defined trong App.jsx,"1. Chạy npm run dev
2. Mở localhost:5173
3. Quan sát màn hình trắng và Console",Nghiêm trọng,P0,US-001,Frontend,06/08/2026,Đã sửa,Đã sửa lỗi import/runtime frontend; tiếp tục theo dõi,,
2.0,BUG-002,Thiếu package psycopg2 khi chạy backend,Backend lỗi ModuleNotFoundError: No module named 'psycopg2',"1. Chạy uvicorn app.main:app
2. Xem traceback import psycopg2",Trung bình,P0,US-001,Backend,06/08/2026,Đã sửa,Đã bổ sung/cài psycopg2-binary,,
3.0,BUG-003,Docker chưa dùng được trên máy local,PowerShell báo docker is not recognized,"1. Chạy docker compose up --build
2. PowerShell báo không nhận lệnh docker",Trung bình,P1,—,Team Lead / Backend,06/08/2026,Đang sửa,Đang chuyển sang Docker Compose; cần cài/chạy Docker Desktop ổn định,,
4.0,BUG-004,Chưa hoàn tất full E2E test,Chưa kiểm chứng toàn bộ luồng Sensor → MQTT → Backend → DB → Frontend → Agent → HITL,Chạy từng module riêng nhưng chưa có script E2E đầy đủ,Nghiêm trọng,P0,"US-001,US-005,US-008",Cả nhóm,06/08/2026,Đang làm,Đang chuẩn bị E2E với PostgreSQL + MQTT + Agent,,
5,BUG-005,Cần kiểm tra DATABASE_URL trong Docker,Backend local dùng localhost nhưng trong Docker phải dùng service name postgres,"1. Chạy docker compose
2. Backend connect DB
3. Kiểm tra lỗi connection refused",Nghiêm trọng,P0,US-001,Backend,10/08/2026,Mở,Rà .env và docker-compose,,
6,BUG-006,Chưa chốt cách tạo PostgreSQL schema,Chưa rõ dùng schema.sql/seed.sql hay Alembic migration,Hỏi mentor và kiểm tra mức yêu cầu MVP,Trung bình,P1,US-001,Team Lead / Backend,10/08/2026,Mở,Đề xuất schema.sql + seed.sql trước,,
7,BUG-007,Cần test Agent với dữ liệu DB thật,Agent pipeline chạy cơ bản nhưng cần xác nhận với PostgreSQL/API thật,Chạy câu hỏi Agent sau khi backend nối DB,Nghiêm trọng,P0,US-005,AI / Backend,10/08/2026,Mở,So sánh kết quả mock và DB thật,,
8,BUG-008,Cần test MQTT + simulator trong Docker,Simulator và Mosquitto cần chạy ổn trong docker-compose,"Chạy simulator publish, backend consume, DB có measurement",Nghiêm trọng,P0,US-001,Data / IoT,10/08/2026,Mở,Tạo scenario normal/high/spike/offline,,
9,BUG-009,Cần demo script E2E,Chưa có script hướng dẫn chạy một luồng demo hoàn chỉnh,Chạy từ seed/simulator tới UI/Agent/proposal,Trung bình,P1,—,Cả nhóm,10/08/2026,Mở,Nên có README demo steps,,
10.0,BUG-010,,,,,,,,,,,,
11.0,BUG-011,,,,,,,,,,,,
12.0,BUG-012,,,,,,,,,,,,
13.0,BUG-013,,,,,,,,,,,,
14.0,BUG-014,,,,,,,,,,,,
15.0,BUG-015,,,,,,,,,,,,
16.0,BUG-016,,,,,,,,,,,,
17.0,BUG-017,,,,,,,,,,,,
18.0,BUG-018,,,,,,,,,,,,
19.0,BUG-019,,,,,,,,,,,,
20.0,BUG-020,,,,,,,,,,,,
21.0,BUG-021,,,,,,,,,,,,
22.0,BUG-022,,,,,,,,,,,,
23.0,BUG-023,,,,,,,,,,,,
24.0,BUG-024,,,,,,,,,,,,
25.0,BUG-025,,,,,,,,,,,,
26.0,BUG-026,,,,,,,,,,,,
27.0,BUG-027,,,,,,,,,,,,
28.0,BUG-028,,,,,,,,,,,,
29.0,BUG-029,,,,,,,,,,,,
30.0,BUG-030,,,,,,,,,,,,
31.0,BUG-031,,,,,,,,,,,,
THANG MỨC NGHIÊM TRỌNG,,,,,,,,,,,,,
Nghiêm trọng,Ứng dụng sập hoặc mất dữ liệu — Không thể sử dụng được,,,,,,,,,,,,
Cao,"Tính năng chính không hoạt động đúng, ảnh hưởng nhiều người dùng",,,,,,,,,,,,
Trung bình,"Tính năng phụ bị lỗi, trải nghiệm không tốt nhưng vẫn dùng được",,,,,,,,,,,,
Thấp,"Lỗi nhỏ, liên quan giao diện, không ảnh hưởng chức năng",,,,,,,,,,,,
