CẬP NHẬT TIẾN ĐỘ DỰ ÁN — 10/08/2026,,,,,
,,,,,
Nguồn cập nhật,Thông tin người dùng cung cấp trong chat + link GitHub repo main,,,,
Lưu ý xác thực repo,"Môi trường ChatGPT không đọc được trực tiếp nội dung repo GitHub từ link; nếu cần audit code chi tiết, cần upload ZIP hoặc file tree.",,,,
Repo,https://github.com/AI20K-Build-Phase-Cohort-3/P-074/tree/main,,,,
Trạng thái chung,FE-BE đã tích hợp; API đã chuẩn hóa; Agent pipeline chạy cơ bản; đang Docker hóa + PostgreSQL + E2E,,,,
Ưu tiên tiếp theo,"E2E chạy chắc trước, sau đó Docker Compose ổn định",,,,
Người cập nhật,Lê Tuấn Cảnh / Team Lead,,,,
Ngày cập nhật,10/08/2026,,,,
Checkpoint gần nhất,Docker + PostgreSQL + MQTT + E2E demo,,,,
,,,,,
Hạng mục,Trạng thái,Đã làm,Đang làm tiếp,Rủi ro,Next action
Frontend + Backend,Done,Đã tích hợp xong và gọi API theo contract,"Polish UI, loading/error/empty states",Có thể phát sinh lỗi khi đổi API,Test từng màn với API thật
API Contract,Done,Chuẩn hóa response success/data/message/timestamp/error,Giữ ổn định khi mở rộng endpoint,Breaking change gây lỗi FE/Agent,Mọi thay đổi API cập nhật sheet/docs trước
AI Agent,Done cơ bản,Pipeline intent → tool → evidence → trace chạy cơ bản,"Nối dữ liệu thật từ DB/API, test 10 câu hỏi",Tool lỗi/stale data cần guardrail rõ,Chạy bộ Agent test và lưu kết quả
PostgreSQL,In Progress,Đang chuyển từ mock/local sang DB thật,"Schema, seed, connection, persistence",Chưa chốt schema.sql/seed.sql hay Alembic,Đề xuất schema.sql + seed.sql cho MVP
Docker Compose,In Progress,Đang đóng gói stack,"Backend, frontend, postgres, mosquitto, simulator",DATABASE_URL/service network,Chạy docker compose up --build
MQTT + Simulator,In Progress,Đã có hướng simulator 5 station/scenario,Test publish/consume trong Docker,Message không vào DB hoặc duplicate,Tạo script scenario/frozen data
E2E Demo,In Progress,Đã xác định 3 luồng demo,Chạy Sensor → MQTT → BE → DB → FE → Agent → Proposal,Chưa có demo script ổn định,Viết README/demo_steps.md
HITL Proposal,Partial/In Progress,Agent có create_warning_proposal ở mức cơ bản,Nối Manager approve/reject với DB thật,Proposal trùng/invalid/stale,Thêm cooldown + audit log
Repo review,Limited,Đã ghi repo link vào sheet,Cần đọc code chi tiết nếu có ZIP/quyền truy cập,Không xác minh trực tiếp từ GitHub,Upload ZIP hoặc file tree nếu muốn mình audit
,,,,,
Daily ngắn gọn,Yesterday,Today,Blocker,,
10/08,"Đã tích hợp FE-BE, chuẩn hóa API, Agent pipeline chạy cơ bản","Làm Docker Compose, PostgreSQL, MQTT, E2E",Cần chốt DB setup và test Docker/service network,,
