DANH SÁCH 10 USE CASES / USER STORIES CHÍNH THỨC HỆ THỐNG AIRGUARD AI,,,,,,
Đặc tả các ca sử dụng theo đúng 2 Role: Cư dân (Resident) và Quản lý đô thị (Urban Manager / BQL),,,,,,
Mã UC,Tên Use Case / Story,Mô tả tóm tắt,Với vai trò (Role),Tôi muốn...,Để nhằm mục đích...,Trạng thái
UC-01,Giám sát Bản đồ Realtime & Heatmap IDW,"Quan sát 5 trạm quan trắc vi khí hậu, mã màu EPA và lớp phủ nội suy không gian IDW",Cư dân & Quản lý,Xem trực quan chất lượng không khí trên bản đồ GIS,Nhận diện vùng trong lành và điểm nóng ô nhiễm toàn khu,Đã hoàn thành
UC-02,"Tra cứu Trạm Chi tiết, Lịch sử 24h & Dự báo 1-24h","Mở ngăn chi tiết trạm xem 4 thông số (PM2.5, CO2, tiếng ồn, nhiệt độ), biểu đồ 24h và dự báo",Cư dân & Quản lý,Xem số liệu lịch sử và xu hướng dự báo của từng phân khu,Chủ động lập kế hoạch sinh hoạt và vận động an toàn,Đã hoàn thành
UC-03,Tiếp nhận Cảnh báo Môi trường Tự động & Cooldown,Phát hiện ô nhiễm tức thì theo 4 cấp độ và lọc chống spam bằng Cooldown Policy 15 phút,Cư dân & Quản lý,Nhận cảnh báo sớm khi chất lượng không khí suy giảm,Kịp thời đeo khẩu trang N95 hoặc hạn chế mở cửa sổ,Đã hoàn thành
UC-04,Đàm thoại Trợ lý AI Tiếng Việt Grounded,Hỏi đáp tự nhiên bằng tiếng Việt với cam kết 100% số liệu có căn cứ DB SoR (Zero Hallucination),Cư dân & Quản lý,"Tra cứu, so sánh trạm và xin lời khuyên sức khỏe bằng giọng văn tự nhiên","Nhận được câu trả lời chính xác, đáng tin cậy tuyệt đối",Đã hoàn thành
UC-05,Định tuyến Đường Chạy Sạch Khép Kín OSM (0% lặp),"Thuật toán 2-Leg Penalized Dijkstra sinh lộ trình thể thao tuần hoàn 0% trùng lặp, né ô nhiễm",Cư dân (Runner / Thể thao),Tìm đường chạy bộ/đạp xe khép kín đạt đúng cự ly 1-10km,Tối thiểu hóa lượng bụi mịn PM2.5 hít vào phổi khi vận động,Đã hoàn thành
UC-06,Quản lý Hồ sơ Sức khỏe & Tùy biến Cảnh báo,"Cấu hình nhóm thể trạng (normal, sensitive, outdoor_sport) và cài đặt nhận bản tin Daily Digest",Cư dân (Resident),Cá nhân hóa hồ sơ sức khỏe và kênh nhận thông báo,Hệ thống tự động áp dụng trọng số phạt ô nhiễm 2.0x phù hợp,Đã hoàn thành
UC-07,Điều khiển Thủ công Máy lọc Không khí Mô phỏng,"Quản lý trực tiếp gửi lệnh MQTT bật/tắt máy lọc FILTER-S01..S05, nhận ACK trong 0.8s",Quản lý đô thị (Manager),Chủ động kích hoạt chế độ lọc khí tăng cường 45 phút công suất 80%,Can thiệp nhanh xử lý điểm nóng ô nhiễm cục bộ,Đã hoàn thành
UC-08,Phê duyệt Đề xuất Can thiệp HITL 1-Click,Cổng thẩm định chứng cứ khoa học (Evidence Card) để Quản lý duyệt/từ chối can thiệp tự động,Quản lý đô thị (Manager),Rà soát chứng cứ trước khi phát cảnh báo khẩn hoặc chạy thiết bị,Đảm bảo AI không bao giờ tự ý can thiệp nguy hiểm ngoài tầm kiểm soát,Đã hoàn thành
UC-09,Truy vết Nhật ký Kiểm toán Bất biến (Audit Trail),Tra cứu lịch sử toàn bộ các tác vụ nhạy cảm trên bảng audit_logs Append-Only,Quản lý đô thị (Manager),"Thanh tra toàn bộ hành động duyệt, từ chối và lệnh điều khiển thiết bị",Phục vụ công tác kiểm toán an toàn và giải trình vận hành,Đã hoàn thành
UC-10,Xuất Báo cáo Môi trường & Đánh giá Tác động ESG,"Tự động tổng hợp và kết xuất báo cáo ca/ngày/tháng dưới định dạng PDF, Excel, CSV, JSON",Quản lý đô thị (Manager),Xuất báo cáo chất lượng vi khí hậu và chỉ số hiệu quả năng lượng ESG,Công bố thông tin minh bạch và báo cáo cơ quan quản lý,Đã hoàn thành
