AGENT DEFINITION — MÔ TẢ RÕ TỪNG AGENT TRONG AIRGUARD AI,,,,,,,,,,
Cập nhật,06/08/2026,Pattern,Supervisor–Worker kết hợp parallel data collection và sequential risk/proposal flow,,,,,,,
Nguyên tắc,"Agent không tự bịa dữ liệu, không tự quyết định threshold, không tự approve/reject, không dùng stale/invalid/offline data để kết luận hiện tại.",,,,,,,,,
Agent,Loại,Vai trò chính,Input,Output,Tool được gọi,Phụ thuộc backend?,Guardrail bắt buộc,Trạng thái,Ghi chú,
Supervisor / Router Agent,LLM Orchestrator,"Nhận câu hỏi, xác định intent, resolve station/user context, chọn agent/tool phù hợp và điều phối luồng xử lý.","user_message, conversation_id, user_id, context","detected_intent, selected_tools, execution_plan",Tất cả tool qua routing,Không bắt buộc để mock; cần backend khi gọi API thật,Không trả lời số liệu trực tiếp nếu chưa có tool output.,Đã có hướng,Là agent trung tâm trong MVP.,
Sensor Data Agent,Tool Worker,"Lấy PM2.5 hiện tại/lịch sử, kiểm tra station status, quality_flag, timestamp.","station_id, hours/time_range","current_pm25, measurements[], status, measured_at","get_current_pm25, get_station_history, compare_stations",Sau này cần backend API/DB,Không dùng dữ liệu stale/invalid/offline để kết luận hiện tại.,Mock được trước,Agent quan trọng nhất vì cung cấp evidence số liệu.,
Weather Context Agent,Tool Worker,Lấy bối cảnh thời tiết để hỗ trợ giải thích và khuyến nghị.,"location, time","temperature, humidity, wind_speed, rainfall, observed_at",get_weather_context,Có thể mock hoặc API ngoài,Nếu thiếu weather thì trả lời rõ là chưa có weather context.,Mock được trước,Không phải nguồn chính để kết luận PM2.5.,
Forecast Agent,Model/Service Worker,Dự báo PM2.5 1–3 giờ bằng baseline/moving average hoặc mô hình đơn giản.,"station_id, history, weather_context, hours","forecast[], model_name, generated_at, confidence",get_pm25_forecast,Không bắt buộc lúc đầu; cần history/weather nếu làm thật,Không nói dự báo chắc chắn; dùng từ dự kiến/xu hướng.,Baseline/mock,Chỉ cần baseline cho MVP nếu mentor đồng ý.,
Risk Assessment Agent,Rule/Reasoning Worker,"Đánh giá mức rủi ro dựa trên PM2.5, forecast, weather, user_group và active alert.","current_pm25, forecast, weather, user_profile, alerts","risk_level, reasons, affected_groups, recommendation_basis","get_active_alerts, get_user_profile + dữ liệu từ workers trước",Cần dữ liệu từ backend/tools,Không chẩn đoán y tế; không nói an toàn tuyệt đối.,Đang định nghĩa,"Chạy sau data collection, không chạy song song với Sensor Data.",
Recommendation Agent,Response Worker,Tạo khuyến nghị dễ hiểu cho user/nhóm nhạy cảm/người chạy bộ dựa trên risk assessment.,"risk_level, user_group, evidence","recommendation_text, action_items, evidence",Không gọi tool chính nếu đã có context; có thể gọi user_profile,Không bắt buộc backend nếu đã có context,"Khuyến nghị môi trường chung, không tư vấn y tế cá nhân.",Đang định nghĩa,Có thể gộp với Response Agent trong MVP.,
Warning Proposal Agent,Action Worker,Tạo warning proposal ở trạng thái pending khi có alert/risk đủ điều kiện và evidence hợp lệ.,"alert_id, station_id, reason, evidence, proposed_message","proposal_id, status=pending, created_at",create_warning_proposal,Cần backend để lưu thật,Không approve/reject; không tạo proposal khi stale/invalid/offline hoặc thiếu evidence.,Mock trước được,Kết nối HITL Manager.,
Response Agent,LLM Response Formatter,"Tổng hợp kết quả tool thành câu trả lời tiếng Việt có số liệu, timestamp, nguồn và giới hạn rõ.","intent, tool_outputs, risk_assessment, proposal_result","final_answer, evidence[], tools_used",Không trực tiếp gọi DB,Không bắt buộc backend,Không bịa; nếu thiếu dữ liệu thì nói thiếu dữ liệu.,Đã có hướng,Đảm bảo câu trả lời nhất quán cho FE.,
Trace / Audit Agent,Logging Worker,Lưu trace xử lý Agent và audit action của manager.,"conversation_id, intent, tools_used, tool I/O summary, final_answer, user/manager action","trace_id, audit_log_id",save_agent_trace,Có thể file local trước; DB sau,Không lưu secret/API key/token.,Đã có hướng,Hỗ trợ debug và báo cáo mentor.,
LUỒNG XỬ LÝ AGENT,,,,,,,,,,
Bước,Tên bước,Mô tả,Agent phụ trách,Tool liên quan,Điều kiện chuyển bước,,,,,
1,Classify intent,"Phân loại câu hỏi: current_pm25, compare_stations, outdoor_recommendation, alert_explanation, proposal_creation, unknown.",Supervisor / Router Agent,-,Có intent hợp lệ hoặc fallback unknown.,,,,,
2,Resolve context,"Xác định station_id, user_id, location, time_range từ câu hỏi/context.",Supervisor / Router Agent,-,Đủ input tối thiểu cho tool.,,,,,
3,Parallel data collection,"Gọi các worker độc lập để lấy PM2.5, weather, profile, active alerts nếu cần.","Sensor Data, Weather, Profile/Alert workers","get_current_pm25, compare_stations, get_weather_context, get_user_profile, get_active_alerts",Tool output hợp lệ hoặc có lỗi được ghi nhận.,,,,,
4,Forecast,"Nếu intent cần dự báo/khuyến nghị, tạo forecast 1–3 giờ.",Forecast Agent,get_pm25_forecast,Có history/context đủ hoặc trả forecast unavailable.,,,,,
5,Risk assessment,Đánh giá rủi ro dựa trên data hiện tại + forecast + profile + alert.,Risk Assessment Agent,-,Có risk_level và reasons.,,,,,
6,Proposal decision,"Nếu đủ điều kiện cảnh báo, tạo warning proposal pending.",Warning Proposal Agent,create_warning_proposal,"Chỉ tạo khi evidence hợp lệ, không stale/offline/invalid.",,,,,
7,Final response,"Trả lời người dùng có evidence, timestamp, source, tools_used và giới hạn.",Response Agent,-,Có final_answer.,,,,,
8,Trace logging,Lưu trace sau lượt xử lý.,Trace/Audit Agent,save_agent_trace,Không lưu secret.,,,,,
